NodeID	MNI_x	MNI_y	MNI_z	Desikan-Killiany_aparc_label	Chan_system_type	Power_system_label	Power_label	Power_red	Power_green	Power_blue	Vertex	Hemisphere	Chan_JON2017
98	-58.859	-38.627	40.569	Supramarginal_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	16872	L	1
99	-63.285	-30.427	23.431	Supramarginal_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	17170	L	1
100	-53.508	-32.474	43.598	Supramarginal_gyrus	Association	Dorsal_attention	15	0	0.863	0	17242	L	1
101	-60.733	-26.803	33.669	Supramarginal_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	17335	L	1
102	-50.124	-26.727	36.83	Postcentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	17554	L	1
103	-58.792	-18.647	28.607	Postcentral_gyrus	Sensory-motor	Mouth_somatomotor	16	1	0.502	0	17571	L	1
104	-63.802	-9.4626	27.767	Postcentral_gyrus	Sensory-motor	Mouth_somatomotor	16	1	0.502	0	17738	L	0
105	-52.94	-12.341	33.309	Postcentral_gyrus	Sensory-motor	Mouth_somatomotor	16	1	0.502	0	17981	L	1
106	-53.004	-4.6295	24.886	Precentral_gyrus	Sensory-motor	Mouth_somatomotor	16	1	0.502	0	18061	L	1
107	-42.506	-13.055	31.61	Precentral_gyrus	Sensory-motor	Mouth_somatomotor	16	1	0.502	0	18129	L	1
108	-36.301	35.814	13.714	Rostral_middle_frontal_gyrus	Association	Fronto-parietal control	6	0.961	0.961	0.059	18599	L	1
109	-45.429	-12.858	16.548	Postcentral_gyrus	Sensory-motor	Auditory	24	1	0	1	18606	L	1
110	-49.966	11.72	8.6829	Inferior_frontal_gyrus-pars_opercularis	Association	Cingulo-opercular_control	14	0.502	0	0.502	18853	L	1
111	-46.028	16.838	24.545	Inferior_frontal_gyrus-pars_opercularis	Association	Ventral_attention	7	0	0.502	0.502	18946	L	1
112	-53.955	-3.2572	7.7391	Precentral_gyrus	Sensory-motor	Auditory	24	1	0	1	19004	L	1
113	-39.518	25.412	25.713	Rostral_middle_frontal_gyrus	Association	Fronto-parietal control	6	0.961	0.961	0.059	19110	L	1
114	-44.663	4.0512	27.21	Precentral_gyrus	Association	Fronto-parietal control	6	0.961	0.961	0.059	19492	L	1
115	-59.035	4.3059	27.684	Precentral_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	19592	L	1
116	-5.9627	53.432	-11.209	Medial_orbitofrontal_cortex	Association	Default	3	1	0	0	19814	L	0
117	-37.647	33.291	-11.767	Lateral_orbitofrontal_cortex	Association	Fronto-parietal control	6	0.961	0.961	0.059	20075	L	1
118	-34.612	20.3	-17.312	Lateral_orbitofrontal_cortex	Association	Default	3	1	0	0	20087	L	1
119	-28.511	47.66	-12.625	Rostral_middle_frontal_gyrus	Association	Fronto-parietal control	6	0.961	0.961	0.059	20410	L	0
